ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
414035944,2026-07-23T18:51:01,2026-07-23T18:59:49,sell,0.01,0.01,XAUUSDm,4046.601,4046.576,4046.576,,,,0.02,,,sl
413987058,2026-07-23T16:10:16,2026-07-23T16:16:19,buy,0.01,0.01,XAUUSDm,4048.424,4048.459,4048.459,,,,0.04,,,sl
413986218,2026-07-23T16:06:48,2026-07-23T16:09:19,buy,0.01,0.01,XAUUSDm,4048.714,4048.726,4048.726,,,,0.02,,,sl
413883111,2026-07-23T13:55:17,2026-07-23T14:03:41,sell,0.01,0.01,XAUUSDm,4057.285,4044.958,4056.676,,,,12.33,,,user
413882330,2026-07-23T13:54:33,2026-07-23T13:54:48,sell,0.01,0.01,XAUUSDm,4056.184,4055.96,4061.188,,,,0.22,,,user
413880115,2026-07-23T13:52:11,2026-07-23T13:53:51,sell,0.01,0.01,XAUUSDm,4053.172,4057.194,4057.194,,,,-4.02,,,sl
413860583,2026-07-23T13:35:51,2026-07-23T13:43:04,sell,0.01,0.01,XAUUSDm,4063.386,4060.6369999999997,4063.334,,,,2.75,,,user
413858833,2026-07-23T13:34:47,2026-07-23T13:35:13,buy,0.01,0.01,XAUUSDm,4063.57,4063.4900000000002,4060.315,,,,-0.08,,,user
413852899,2026-07-23T13:30:59,2026-07-23T13:32:42,sell,0.01,0.01,XAUUSDm,4061.134,4063.814,4063.814,,,,-2.68,,,sl
413849457,2026-07-23T13:29:29,2026-07-23T13:29:33,sell,0.01,0.01,XAUUSDm,4056.514,4058.72,4058.72,,,,-2.21,,,sl
413842120,2026-07-23T13:22:27,2026-07-23T13:28:07,sell,0.01,0.01,XAUUSDm,4050.76,4055.562,4055.562,,,,-4.8,,,sl
413833437,2026-07-23T13:16:59,2026-07-23T13:19:06,sell,0.01,0.01,XAUUSDm,4042.724,4048.5519999999997,4047.9,,,,-5.83,,,sl
413826722,2026-07-23T13:11:44,2026-07-23T13:12:41,sell,0.01,0.01,XAUUSDm,4043.65,4043.603,4043.603,,,,0.05,,,sl
413821105,2026-07-23T13:09:48,2026-07-23T13:10:24,buy,0.01,0.01,XAUUSDm,4047.278,4042.2470000000003,4044.247,,,,-5.03,,,sl
413806243,2026-07-23T13:03:00,2026-07-23T13:07:00,sell,0.01,0.01,XAUUSDm,4057.994,4048.602,4057.853,,,,9.39,,,user
413804706,2026-07-23T13:02:00,2026-07-23T13:02:17,buy,0.01,0.01,XAUUSDm,4057.024,4057.352,4057.352,,,,0.33,,,sl
413799940,2026-07-23T13:00:12,2026-07-23T13:01:27,buy,0.01,0.01,XAUUSDm,4061.777,4059.214,4059.214,,,,-2.57,,,sl
413792326,2026-07-23T12:51:41,2026-07-23T12:54:38,sell,0.01,0.01,XAUUSDm,4067.572,4064.006,4066.232,,,,3.56,,,user
413787297,2026-07-23T12:46:54,2026-07-23T12:51:16,buy,0.01,0.01,XAUUSDm,4066.587,4066.766,4062.443,,,,0.18,,,user
413613284,2026-07-23T08:40:40,2026-07-23T09:02:03,sell,0.01,0.01,USOILm,88.682,88.674,88.674,,,,0.08,,,sl
413586158,2026-07-23T08:00:14,2026-07-23T08:11:10,buy,0.01,0.01,XAUUSDm,4096.611,4094.33,4092.676,,,,-2.28,,,user
413580837,2026-07-23T07:54:13,2026-07-23T07:57:46,buy,0.01,0.01,XAUUSDm,4091.838,4094.416,4093.179,,,,2.58,,,user
413579326,2026-07-23T07:53:34,2026-07-23T07:53:41,buy,0.01,0.01,XAUUSDm,4091.938,4090.176,4090.176,,,,-1.76,,,sl
413575944,2026-07-23T07:49:30,2026-07-23T07:52:00,buy,0.01,0.01,XAUUSDm,4092.983,4092.469,4093.081,,,,-0.51,,,sl
413575616,2026-07-23T07:49:14,2026-07-23T07:49:15,buy,0.01,0.01,XAUUSDm,4093.316,4092.244,4092.244,,,,-1.08,,,sl
413572790,2026-07-23T07:46:46,2026-07-23T07:47:38,buy,0.01,0.01,XAUUSDm,4094.491,4091.358,4091.358,,,,-3.13,,,sl
